filename,width,height,class,xmin,ymin,xmax,ymax
fall001.xml,275,183,0,78,78,200,122
fall002.xml,259,194,0,112,59,178,118
fall003.xml,275,183,0,47,64,255,143
fall004.xml,275,183,0,15,2,273,134
fall005.xml,275,183,0,14,3,257,168
fall006.xml,275,183,0,25,2,272,179
fall007.xml,260,194,0,42,58,237,154
fall008.xml,304,166,0,45,28,298,153
fall009.xml,265,190,0,17,28,248,154
fall010.xml,267,189,0,82,55,166,147
fall010.xml,267,189,2,5,35,102,174
fall010.xml,267,189,2,118,25,221,168
fall011.xml,264,191,0,31,0,261,119
fall012.xml,187,269,0,48,57,159,259
fall013.xml,265,190,0,68,18,225,95
fall014.xml,275,183,0,0,17,274,180
fall015.xml,287,175,0,113,69,283,170
fall016.xml,183,275,0,34,31,138,99
fall017.xml,225,225,0,1,132,223,207
fall017.xml,225,225,2,86,61,167,154
fall018.xml,312,161,0,65,2,309,152
fall019.xml,275,183,0,20,30,267,162
fall020.xml,263,192,0,18,0,243,158
fall021.xml,183,275,0,12,97,152,215
fall022.xml,275,183,0,52,63,178,164
fall023.xml,275,183,0,35,93,196,148
fall024.xml,275,183,0,5,64,195,118
fall025.xml,275,183,0,3,1,183,141
fall026.xml,265,190,0,32,50,212,114
fall027.xml,267,189,1,34,0,86,81
fall027.xml,267,189,1,75,0,128,82
fall027.xml,267,189,2,122,24,229,87
fall027.xml,267,189,0,65,84,229,180
fall028.xml,173,280,0,16,29,126,252
fall029.xml,265,190,0,30,53,234,153
fall030.xml,271,186,2,38,0,128,62
fall030.xml,271,186,0,94,0,207,135
fall031.xml,265,190,0,13,36,167,174
fall032.xml,275,183,0,56,108,268,166
fall033.xml,290,174,0,19,1,200,173
fall034.xml,183,275,0,29,69,175,254
fall035.xml,309,163,0,34,61,293,127
fall036.xml,275,183,0,59,34,267,143
fall037.xml,225,225,0,2,25,217,155
fall038.xml,300,168,0,72,39,152,118
fall039.xml,262,192,0,50,49,176,163
fall040.xml,235,214,0,67,17,226,192
fall041.xml,262,192,0,11,39,207,147
fall042.xml,177,285,0,17,55,169,256
fall043.xml,262,192,0,51,7,209,171
fall044.xml,262,192,0,27,15,201,123
fall045.xml,276,183,0,10,40,263,172
fall046.xml,275,183,0,18,35,235,155
fall047.xml,262,192,0,12,13,184,172
fall048.xml,259,194,0,1,13,253,166
fall049.xml,201,251,0,28,15,196,218
fall050.xml,275,183,0,86,19,272,158
fall051.xml,183,275,0,6,118,114,266
fall052.xml,265,190,0,9,37,182,116
fall053.xml,259,194,0,69,66,214,171
fall054.xml,276,183,0,14,32,200,168
fall055.xml,266,189,0,16,56,219,131
fall056.xml,265,190,0,18,26,194,149
fall057.xml,302,167,0,3,62,290,164
fall058.xml,213,236,0,3,79,207,227
fall059.xml,265,190,0,13,8,252,150
fall060.xml,253,199,0,22,9,230,180
fall061.xml,297,170,0,30,8,290,144
fall062.xml,265,190,0,38,26,259,166
fall063.xml,266,190,0,2,43,211,122
fall064.xml,177,285,0,35,30,139,227
fall065.xml,265,190,0,60,62,180,159
fall066.xml,262,192,0,69,23,208,129
fall067.xml,275,183,0,39,27,238,158
fall068.xml,265,190,0,61,0,179,136
fall068.xml,265,190,2,144,0,235,70
fall069.xml,265,190,2,83,61,226,135
fall069.xml,265,190,1,0,0,26,20
fall069.xml,265,190,1,98,0,130,23
fall070.xml,257,196,0,94,0,246,178
fall071.xml,265,190,0,88,4,250,126
fall072.xml,201,251,0,4,3,196,197
fall073.xml,289,175,0,79,69,190,103
fall074.xml,1200,800,0,0,0,1106,794
fall075.xml,1300,956,0,53,135,821,772
fall076.xml,600,400,0,4,2,549,398
fall077.xml,1300,958,0,246,305,901,638
fall078.xml,265,190,0,13,0,234,166
fall079.xml,800,533,0,14,45,800,515
fall080.xml,390,280,0,26,78,255,168
fall081.xml,1300,957,0,622,153,1226,789
fall082.xml,390,280,0,106,25,353,240
fall083.xml,259,194,0,46,110,132,188
fall083.xml,259,194,1,83,7,107,59
fall083.xml,259,194,1,108,10,133,55
fall084.xml,800,534,0,129,36,637,486
fall085.xml,600,333,0,8,14,590,315
fall086.xml,390,280,0,127,105,356,214
fall087.xml,1300,989,0,100,208,1049,844
fall088.xml,612,424,0,83,1,538,416
fall089.xml,297,170,0,26,6,297,148
fall090.xml,612,408,0,2,63,499,407
fall091.xml,800,533,0,171,111,635,356
fall092.xml,612,408,0,109,41,587,194
fall093.xml,424,612,0,162,232,405,544
fall094.xml,275,183,0,0,0,254,166
fall095.xml,275,183,0,0,2,265,137
fall096.xml,275,183,0,26,44,236,155
fall097.xml,275,183,0,13,69,259,181
fall098.xml,183,275,0,52,50,163,261
fall099.xml,271,186,0,3,45,251,166
fall100.xml,600,450,0,174,1,431,450
fall101.xml,640,352,0,79,80,489,352
fall102.xml,640,480,0,61,401,447,480
fall103.xml,640,352,0,144,84,552,338
fall104.xml,640,352,0,156,39,480,271
fall105.xml,640,352,0,51,159,575,351
fall106.xml,640,352,0,114,188,307,317
fall107.xml,640,352,0,1,185,583,352
fall108.xml,640,352,0,121,193,348,306
fall109.xml,640,352,0,277,189,480,340
fall110.xml,640,352,0,65,85,473,282
fall111.xml,640,352,0,95,120,486,351
fall112.xml,640,480,0,230,216,369,381
fall112.xml,640,480,2,521,118,639,324
fall113.xml,640,480,0,63,326,391,480
fall114.xml,640,480,0,222,175,372,438
fall114.xml,640,480,2,517,110,639,324
fall115.xml,640,480,0,214,174,367,440
fall115.xml,640,480,2,521,116,637,325
fall116.xml,640,480,2,520,111,640,320
fall116.xml,640,480,0,222,236,365,434
fall117.xml,640,480,0,287,236,487,480
fall118.xml,640,480,0,238,302,486,480
fall119.xml,640,480,0,258,206,390,337
fall119.xml,640,480,2,534,118,640,321
fall120.xml,640,480,2,515,115,639,321
fall120.xml,640,480,0,251,246,383,361
fall121.xml,640,480,0,242,238,380,402
fall121.xml,640,480,2,526,110,640,304
fall122.xml,640,480,0,153,388,481,479
fall123.xml,640,480,0,245,270,377,425
fall123.xml,640,480,2,533,115,640,326
fall124.xml,640,480,0,194,349,462,480
fall125.xml,640,480,0,107,369,464,480
fall126.xml,640,480,0,217,153,382,410
fall127.xml,640,480,0,158,242,386,480
fall128.xml,640,480,0,123,309,394,480
fall129.xml,640,480,0,225,356,465,479
fall130.xml,640,480,0,177,13,374,348
fall131.xml,640,480,0,206,106,382,427
fall132.xml,640,480,0,119,351,478,479
fall133.xml,640,480,0,69,327,459,480
fall134.xml,640,480,0,149,165,474,314
fall135.xml,640,480,0,132,190,419,361
fall136.xml,640,480,0,208,226,430,480
fall137.xml,640,480,0,113,309,440,480
fall138.xml,640,480,0,177,90,380,331
fall139.xml,640,480,0,152,77,407,338
fall140.xml,640,480,0,166,295,457,476
fall141.xml,640,480,0,86,319,442,478
fall142.xml,640,480,0,165,199,422,347
fall143.xml,640,480,0,90,374,473,480
fall144.xml,640,480,0,136,219,394,391
fall145.xml,640,480,0,208,317,455,474
fall146.xml,640,480,0,149,274,436,480
fall147.xml,640,480,0,183,363,453,480
fall148.xml,640,480,0,201,0,414,285
fall149.xml,640,480,0,204,61,398,360
fall150.xml,640,480,0,186,119,394,408
fall151.xml,640,480,0,219,224,494,476
