label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
fall,106,211,682,419,fall1.jpeg,1280,720
fall,140,163,144,85,fall10.jpg,377,410
fall,156,316,504,415,fall11.png,732,913
fall,226,199,421,447,fall12.jpg,677,737
fall,32,137,435,290,fall13.png,928,612
fall,728,195,753,480,fall14.jpg,2156,1080
fall,231,772,3969,2400,fall15.png,4624,3468
fall,41,201,349,174,fall16.jpg,391,487
fall,232,205,684,260,fall17.png,917,686
fall,218,422,272,217,fall18.png,727,917
fall,15,438,579,398,fall19.png,691,888
fall,536,145,353,427,fall2.jpg,1687,1069
fall,183,395,384,386,fall20.png,912,872
fall,146,314,454,130,fall21.png,915,677
fall,56,169,675,369,fall22.png,915,672
fall,248,390,385,274,fall23.png,912,742
fall,220,194,527,367,fall24.png,915,911
fall,184,165,314,136,fall25.png,649,799
fall,50,608,456,441,fall26.png,1033,1051
fall,4,567,679,436,fall27.png,751,1023
stand,298,68,242,521,fall27.png,751,1023
fall,0,225,607,544,fall28.png,607,863
fall,235,525,747,224,fall29.png,1617,985
stand,181,94,235,777,fall29.png,1617,985
stand,481,141,166,344,fall29.png,1617,985
stand,721,119,237,725,fall29.png,1617,985
stand,898,154,237,614,fall29.png,1617,985
stand,1179,64,354,807,fall29.png,1617,985
fall,405,256,2573,3825,fall3.png,3120,4160
fall,167,48,868,860,fall30.png,1243,1003
fall,410,173,776,763,fall31.png,1237,1073
fall,9,229,496,428,fall32.png,983,1027
fall,324,643,533,383,fall33.jpg,1492,1077
fall,12,275,360,360,fall34.png,750,1000
fall,706,77,821,657,fall35.png,1527,757
fall,72,130,549,627,fall36.png,723,783
fall,287,238,280,315,fall37.png,831,805
fall,550,190,684,444,fall38.png,1423,797
fall,370,92,426,335,fall39.png,809,813
fall,8,93,576,389,fall4.jpg,1920,820
fall,1118,200,802,453,fall4.jpg,1920,820
fall,694,662,465,209,fall40.png,1443,871
stand,434,341,127,397,fall40.png,1443,871
stand,648,304,119,409,fall40.png,1443,871
fall,3,302,640,778,fall41.png,810,1080
fall,50,97,215,196,fall42.jpg,281,455
fall,243,333,453,461,fall43.jpg,810,1080
fall,3,8,364,137,fall44.png,367,249
fall,372,331,241,263,fall45.jpg,1430,994
fall,845,309,444,342,fall45.jpg,1430,994
fall,2,3,418,224,fall46.png,539,277
fall,73,780,500,500,fall47.jpg,960,1280
fall,132,928,2872,3287,fall48.png,3456,4608
fall,758,422,1159,427,fall49.jpg,1917,863
fall,262,264,139,58,fall5.jpg,625,369
stand,95,171,65,120,fall5.jpg,625,369
fall,10,13,360,344,fall50.png,597,472
fall,540,9,435,760,fall51.jpg,1280,960
fall,16,10,685,309,fall52.png,822,521
fall,105,300,412,514,fall53.jpg,612,960
fall,128,235,368,209,fall54.png,535,631
fall,368,303,318,309,fall55.png,920,612
stand,311,0,172,565,fall55.png,920,612
stand,554,10,206,529,fall55.png,920,612
fall,321,165,320,334,fall56.png,922,588
fall,705,364,404,404,fall57.jpg,1915,792
fall,11,43,547,692,fall58.png,732,901
fall,259,389,414,237,fall59.jpg,1096,729
fall,108,186,569,381,fall6.jpg,865,633
fall,110,329,333,224,fall60.png,613,739
fall,42,279,498,247,fall61.png,611,745
fall,143,834,2398,1716,fall7.png,3000,4000
fall,49,32,806,473,fall8.png,882,912
fall,0,1346,952,1508,fall9.png,2448,3264
sit,1029,913,518,944,fall9.png,2448,3264
sit,1679,998,534,750,fall9.png,2448,3264
