label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
sit,943,1869,1781,2243,sit1.png,3472,4640
sit,317,189,488,828,sit10.jpg,1080,1079
sit,273,11,561,1095,sit11.jpg,1080,1173
sit,130,192,880,1158,sit12.jpg,1080,1350
sit,214,389,581,514,sit13.jpg,864,1080
sit,379,655,838,1633,sit14.jpg,1970,2970
sit,889,1395,525,1013,sit15.png,3024,4032
sit,1625,1643,1013,1385,sit15.png,3024,4032
sit,163,1777,803,975,sit15.png,3024,4032
sit,149,274,1585,2468,sit16.jpg,1854,3215
sit,622,564,1175,2580,sit17.png,3024,4032
sit,1902,726,869,3296,sit17.png,3024,4032
sit,422,515,220,544,sit18.jpg,1485,2014
sit,641,391,535,730,sit18.jpg,1485,2014
sit,1052,1510,917,1605,sit19.png,3024,4032
sit,333,343,90,161,sit2.jpg,810,1080
stand,666,200,144,686,sit2.jpg,810,1080
sit,480,1584,784,878,sit20.jpg,2154,3309
sit,875,1408,286,495,sit21.png,2448,3264
sit,782,452,626,830,sit22.jpg,2160,2614
sit,206,1261,506,1070,sit23.png,2268,4032
sit,1104,48,1164,3870,sit23.png,2268,4032
sit,260,1165,337,710,sit24.jpg,2160,3840
sit,924,1228,737,664,sit24.jpg,2160,3840
sit,307,1309,2408,2608,sit25.png,3024,4032
sit,185,38,805,1402,sit26.JPG,1080,1440
sit,297,160,278,351,sit27.png,1309,695
sit,946,153,294,375,sit27.png,1309,695
sit,217,333,343,704,sit28.jpg,1080,1080
sit,44,150,559,743,sit29.png,681,893
sit,146,115,115,276,sit3.jpg,809,1080
sit,155,161,124,294,sit30.JPG,800,600
sit,290,210,98,279,sit30.JPG,800,600
sit,359,192,159,272,sit30.JPG,800,600
sit,502,233,92,240,sit30.JPG,800,600
sit,592,171,146,341,sit30.JPG,800,600
sit,231,376,679,904,sit31.jpg,960,1280
sit,182,277,408,576,sit32.png,648,853
sit,213,127,197,291,sit33.JPG,720,480
