label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
stand,235,553,481,1387,stand (1).jpg,2356,2160
stand,978,717,312,773,stand (1).jpg,2356,2160
stand,1669,752,266,640,stand (1).jpg,2356,2160
stand,132,64,1392,2939,stand (10).jpg,2160,3840
stand,249,684,709,2286,stand (11).jpg,1301,3521
stand,860,982,331,1101,stand (12).jpg,2148,2639
stand,524,702,891,2050,stand (13).jpg,1476,3327
stand,430,1137,744,1378,stand (14).jpg,2014,3077
stand,624,159,315,779,stand (15).jpg,1080,1081
stand,159,1474,482,1001,stand (16).jpg,1668,3840
sit,1069,1620,528,864,stand (16).jpg,1668,3840
sit,307,827,525,842,stand (17).jpg,3840,2160
sit,1265,763,686,1153,stand (17).jpg,3840,2160
stand,1990,504,512,1656,stand (17).jpg,3840,2160
stand,2800,439,622,1697,stand (17).jpg,3840,2160
stand,132,309,350,1075,stand (17).jpg,3840,2160
stand,223,227,582,2966,stand (18).jpg,2160,3840
sit,978,1010,1147,2484,stand (18).jpg,2160,3840
stand,176,173,111,315,stand (19).jpg,374,500
stand,426,655,367,859,stand (2).jpg,1190,1868
stand,338,77,133,343,stand (20).jpg,810,1080
stand,402,56,408,1024,stand (21).jpg,810,1080
stand,243,200,146,358,stand (21).jpg,810,1080
stand,378,264,151,353,stand (22).jpg,809,1080
stand,345,305,90,184,stand (23).jpg,809,1080
stand,151,136,156,719,stand (24).jpg,809,1080
stand,215,266,174,545,stand (25).jpg,810,1080
stand,315,225,223,466,stand (26).jpg,810,1080
stand,332,197,100,284,stand (27).jpg,809,1080
stand,295,464,185,474,stand (28).jpg,606,1069
stand,186,289,261,647,stand (29).jpg,485,1080
stand,957,753,318,573,stand (3).jpg,2160,2239
stand,115,343,143,363,stand (30).jpg,810,1080
stand,46,397,143,238,stand (31).jpg,809,1080
stand,458,225,136,307,stand (32).jpg,809,1080
stand,708,263,219,447,stand (33).jpg,1080,809
stand,217,207,171,369,stand (34).jpg,809,1080
stand,269,346,157,605,stand (35).jpg,1280,960
stand,394,396,164,512,stand (35).jpg,1280,960
stand,524,425,141,530,stand (35).jpg,1280,960
stand,635,318,162,560,stand (35).jpg,1280,960
stand,767,337,164,603,stand (35).jpg,1280,960
stand,926,391,191,569,stand (35).jpg,1280,960
stand,137,684,103,281,stand (36).JPG,750,1334
stand,214,703,93,256,stand (36).JPG,750,1334
stand,277,704,87,256,stand (36).JPG,750,1334
stand,355,691,58,303,stand (36).JPG,750,1334
stand,407,713,55,301,stand (36).JPG,750,1334
stand,458,696,58,273,stand (36).JPG,750,1334
stand,511,684,82,289,stand (36).JPG,750,1334
stand,335,250,234,708,stand (37).jpg,1280,958
stand,562,173,159,722,stand (37).jpg,1280,958
stand,708,161,200,733,stand (37).jpg,1280,958
stand,513,667,488,1383,stand (38).JPG,2800,2100
stand,1021,552,398,1388,stand (38).JPG,2800,2100
stand,1399,547,368,1478,stand (38).JPG,2800,2100
stand,1757,692,269,1359,stand (38).JPG,2800,2100
stand,2096,677,314,1423,stand (38).JPG,2800,2100
stand,1835,1815,812,1701,stand (39).JPG,3024,4032
stand,696,692,637,2129,stand (4).jpg,2160,3840
stand,1232,805,900,2525,stand (40).jpg,2499,3330
stand,918,1452,631,2255,stand (41).JPG,3024,4032
stand,1539,1643,678,2236,stand (41).JPG,3024,4032
stand,1004,2188,831,1739,stand (42).JPG,3024,4032
stand,2086,1118,315,1834,stand (43).JPG,4032,3024
stand,811,1082,373,1842,stand (43).JPG,4032,3024
stand,1270,1319,437,1641,stand (43).JPG,4032,3024
stand,1571,1311,430,1713,stand (43).JPG,4032,3024
stand,285,164,232,742,stand (44).JPG,1280,960
stand,526,193,155,669,stand (44).JPG,1280,960
stand,667,166,132,669,stand (44).JPG,1280,960
stand,776,152,146,753,stand (44).JPG,1280,960
stand,904,166,184,762,stand (44).JPG,1280,960
stand,371,148,266,906,stand (45).jpg,1080,1080
stand,336,25,105,368,stand (46).jpg,1051,393
stand,444,14,131,379,stand (46).jpg,1051,393
stand,582,25,161,368,stand (46).jpg,1051,393
stand,48,443,99,186,stand (47).jpg,1071,629
stand,143,446,96,181,stand (47).jpg,1071,629
stand,239,448,54,181,stand (47).jpg,1071,629
stand,295,450,49,173,stand (47).jpg,1071,629
stand,333,432,81,197,stand (47).jpg,1071,629
stand,394,436,72,193,stand (47).jpg,1071,629
stand,470,430,54,197,stand (47).jpg,1071,629
